Asset,Day of week,Start time,End time
Anruf-Asset +43 1 205 1003,Monday,09:00,12:00
Anruf-Asset +43 1 205 1003,Monday,13:00,14:00
Anruf-Asset +43 1 205 1003,Monday,14:00,16:00
Anruf-Asset +43 1 205 1003,Monday,16:00,17:00
Anruf-Asset +43 1 205 1003,Tuesday,09:00,12:00
Anruf-Asset +43 1 205 1003,Tuesday,13:00,14:00
Anruf-Asset +43 1 205 1003,Tuesday,14:00,16:00
Anruf-Asset +43 1 205 1003,Tuesday,16:00,17:00
Anruf-Asset +43 1 205 1003,Wednesday,09:00,12:00
Anruf-Asset +43 1 205 1003,Wednesday,13:00,14:00
Anruf-Asset +43 1 205 1003,Wednesday,14:00,16:00
Anruf-Asset +43 1 205 1003,Wednesday,16:00,17:00
Anruf-Asset +43 1 205 1003,Thursday,09:00,12:00
Anruf-Asset +43 1 205 1003,Thursday,13:00,14:00
Anruf-Asset +43 1 205 1003,Thursday,14:00,16:00
Anruf-Asset +43 1 205 1003,Thursday,16:00,17:00
Anruf-Asset +43 1 205 1003,Friday,09:00,12:00
Anruf-Asset +43 1 205 1003,Friday,12:00,13:00
